"Product ID*";"Attribute (Name:Type:Position)*";"Value (Value:Position)*";"Reference";"UPC";"Impact on price";"Quantity";"Minimal quantity";"Default (0 = No, 1 = Yes)";"Combination available date"
265;"Medidas:select:0";"Ancho 100 cm x Prof. 190 cm:0";3016639;3016639;6000000;10;1;1;2018-10-01
265;"Medidas:select:0";"Ancho 100 cm x Prof. 200 cm:1";3016640;3016640;6000000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 120  cm x Prof. 190 cm:2";3016641;3016641;6500000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 120 cm x Prof. 200 cm:3";3016642;3016642;6500000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 140 cm x Prof. 190 cm:4";3016643;3016643;7000000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 140 cm x Prof. 200 cm:5";3016644;3016644;7000000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 160 cm x Prof. 190 cm:6";3016645;3016645;8500000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 160 cm x Prof. 200 cm:7";3016646;3016646;8500000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 180 cm x Prof. 190 cm:8";3016647;3016647;10000000;10;1;0;2018-10-01
265;"Medidas:select:0";"Ancho 200 cm x Prof. 200 cm:9";3016648;3016648;11000000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 100 cm x Prof. 190 cm:0";3016619;3016619;6000000;10;1;1;2018-10-01
266;"Medidas:select:0";"Ancho 100 cm x Prof. 200 cm:1";3016620;3016620;6000000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 120  cm x Prof. 190 cm:2";3016621;3016621;6500000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 120 cm x Prof. 200 cm:3";3016622;3016622;6500000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 140 cm x Prof. 190 cm:4";3016623;3016623;7000000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 140 cm x Prof. 200 cm:5";3016624;3016624;7000000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 160 cm x Prof. 190 cm:6";3016625;3016625;8500000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 160 cm x Prof. 200 cm:7";3016626;3016626;8500000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 180 cm x Prof. 190 cm:8";3016627;3016627;10000000;10;1;0;2018-10-01
266;"Medidas:select:0";"Ancho 200 cm x Prof. 200 cm:9";3016628;3016628;11000000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 100 cm x Prof. 190 cm:0";3016659;3016659;6000000;10;1;1;2018-10-01
267;"Medidas:select:0";"Ancho 100 cm x Prof. 200 cm:1";3016660;3016660;6000000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 120  cm x Prof. 190 cm:2";3016661;3016661;6500000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 120 cm x Prof. 200 cm:3";3016662;3016662;6500000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 140 cm x Prof. 190 cm:4";3016663;3016663;7000000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 140 cm x Prof. 200 cm:5";3016664;3016664;7000000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 160 cm x Prof. 190 cm:6";3016665;3016665;8500000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 160 cm x Prof. 200 cm:7";3016666;3016666;8500000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 180 cm x Prof. 190 cm:8";3016667;3016667;10000000;10;1;0;2018-10-01
267;"Medidas:select:0";"Ancho 200 cm x Prof. 200 cm:9";3016668;3016668;11000000;10;1;0;2018-10-01
268;"Medidas:select:0";"Ancho 100 cm x Prof. 190 cm:0";3016649;3016649;6000000;10;1;1;2018-10-01
268;"Medidas:select:0";"Ancho 100 cm x Prof. 200 cm:1";3016650;3016650;6000000;10;1;0;2018-10-01
268;"Medidas:select:0";"Ancho 120  cm x Prof. 190 cm:2";3016651;3016651;6500000;10;1;0;2018-10-01
268;"Medidas:select:0";"Ancho 120 cm x Prof. 200 cm:3";3016652;3016652;6500000;10;1;0;2018-10-01
268;"Medidas:select:0";"Ancho 140 cm x Prof. 190 cm:4";3016653;3016653;7000000;10;1;0;2018-10-01
268;"Medidas:select:0";"Ancho 140 cm x Prof. 200 cm:5";3016654;3016654;7000000;10;1;0;2018-10-01
