"Product ID*";"Attribute (Name:Type:Position)*";"Value (Value:Position)*";"Reference";"EAN13";"UPC";"Impact on price";"Ecotax";"Quantity";"Minimal quantity";"Impact on weight";"Default (0 = No, 1 = Yes)";"ID / Name of shop"
232;"Medidas:select:0";"100 x 190:0";3016008;7701144158765;3016008;1764706;0;10;1;0;0;1
232;"Medidas:select:0";"120 x 190:0";3016009;7701144158772;3016009;1932773;0;10;1;0;0;1
232;"Medidas:select:0";"140 x 190:0";3016010;7701144158789;3016010;2100840;0;10;1;0;0;1
232;"Medidas:select:0";"160 x 190:0";3016011;7701144158796;3016011;2436975;0;10;1;0;0;1
232;"Medidas:select:0";"180 x 190:0";3016012;7701144158802;3016012;2773109;0;10;1;0;0;1
232;"Medidas:select:0";"200 x 200:0";3016013;7701144158819;3016013;3361345;0;10;1;0;0;1
232;"Medidas:select:0";"100 x 190:0";3017143;7701144171054;3017143;1512605;0;10;1;0;0;1
232;"Medidas:select:0";"120 x 190:0";3017144;7701144171061;3017144;1596639;0;10;1;0;0;1
232;"Medidas:select:0";"140 x 190:0";3017145;7701144171078;3017145;1848739;0;10;1;0;0;1
232;"Medidas:select:0";"160 x 190:0";3017146;7701144171085;3017146;2100840;0;10;1;0;0;1
232;"Medidas:select:0";"180 x 190:0";3017147;7701144171092;3017147;2521008;0;10;1;0;0;1
232;"Medidas:select:0";"200 x 200:0";3017148;7701144171108;3017148;2941176;0;10;1;0;1;1
226;"Medidas:select:0";"100 x 190:0";3015058;7701144148698;3015058;2100840;0;10;1;0;0;1
226;"Medidas:select:0";"100 x 200:0";3015059;7701144148704;3015059;2100840;0;10;1;0;0;1
226;"Medidas:select:0";"140 x 190:0";3015060;7701144148711;3015060;2521008;0;10;1;0;0;1
226;"Medidas:select:0";"140 x 200:0";3015061;7701144148728;3015061;2521008;0;10;1;0;0;1
226;"Medidas:select:0";"160 x 190:0";3015062;7701144148735;3015062;3193277;0;10;1;0;0;1
226;"Medidas:select:0";"160 x 200:0";3015063;7701144148742;3015063;3193277;0;10;1;0;0;1
226;"Medidas:select:0";"200 x 200:0";3015064;7701144148759;3015064;3949580;0;10;1;0;1;1
286;"Medidas:select:0";"100 x 190:0";3017118;7701144170804;3017118;1260504;0;10;1;0;0;1
286;"Medidas:select:0";"120 x 190:0";3017119;7701144170811;3017119;1344538;0;10;1;0;0;1
286;"Medidas:select:0";"140 x 190:0";3017120;7701144170828;3017120;1512605;0;10;1;0;0;1
286;"Medidas:select:0";"160 x 190:0";3017121;7701144170835;3017121;1764706;0;10;1;0;0;1
286;"Medidas:select:0";"180 x 190:0";3017122;7701144170842;3017122;2100840;0;10;1;0;0;1
286;"Medidas:select:0";"200 x 200:0";3017123;7701144170859;3017123;2436975;0;10;1;0;0;1
286;"Medidas:select:0";"100 x 190:0";3017124;7701144170866;3017124;1092437;0;10;1;0;0;1
286;"Medidas:select:0";"120 x 190:0";3017125;7701144170873;3017125;1176471;0;10;1;0;0;1
286;"Medidas:select:0";"140 x 190:0";3017126;7701144170880;3017126;1344538;0;10;1;0;0;1
286;"Medidas:select:0";"160 x 190:0";3017127;7701144170897;3017127;1596639;0;10;1;0;0;1
286;"Medidas:select:0";"180 x 190:0";3017128;7701144170903;3017128;1932773;0;10;1;0;0;1
286;"Medidas:select:0";"200 x 200:0";3017129;7701144170910;3017129;2184874;0;10;1;0;0;1
286;"Medidas:select:0";"100 x 190:0";3017130;7701144170927;3017130;924370;0;10;1;0;0;1
286;"Medidas:select:0";"120 x 190:0";3017131;7701144170934;3017131;1008403;0;10;1;0;0;1
286;"Medidas:select:0";"140 x 190:0";3017132;7701144170941;3017132;1176471;0;10;1;0;0;1
286;"Medidas:select:0";"160 x 190:0";3017133;7701144170958;3017133;1344538;0;10;1;0;0;1
286;"Medidas:select:0";"180 x 190:0";3017134;7701144170965;3017134;1512605;0;10;1;0;0;1
286;"Medidas:select:0";"200 x 200:0";3017135;7701144170972;3017135;1848739;0;10;1;0;0;1
286;"Medidas:select:0";"100 x 190:0";3017153;7701144171160;3017153;4369748;0;10;1;0;0;1
286;"Medidas:select:0";"100 x 200:0";3017154;7701144171177;3017154;4369748;0;10;1;0;0;1
286;"Medidas:select:0";"120 x 190:0";3017155;7701144171184;3017155;4621849;0;10;1;0;0;1
286;"Medidas:select:0";"120 x 200:0";3017156;7701144171191;3017156;4621849;0;10;1;0;0;1
286;"Medidas:select:0";"140 x 190:0";3017157;7701144171207;3017157;4873950;0;10;1;0;0;1
286;"Medidas:select:0";"140 x 200:0";3017158;7701144171214;3017158;4873950;0;10;1;0;0;1
286;"Medidas:select:0";"160 x 190:0";3017159;7701144171221;3017159;5882353;0;10;1;0;0;1
286;"Medidas:select:0";"160 x 200:0";3017160;7701144171238;3017160;5882353;0;10;1;0;0;1
286;"Medidas:select:0";"180 x 190:0";3017161;7701144171245;3017161;7563025;0;10;1;0;0;1
286;"Medidas:select:0";"200 x 200:0";3017162;7701144171252;3017162;8403361;0;10;1;0;1;1
224;"Color:color:0";"Negro:0";4001054;7701144022295;4001054;7546218;0;10;1;0;0;1
224;"Color:color:0";"Negro:0";4002777;7701144137371;4002777;19327731;0;10;1;0;0;1
224;"Color:color:0";"Espresso:0";4002778;7701144137388;4002778;19327731;0;10;1;0;1;1
275;"Medidas:select:0";"180 x 190:0";3014435;7701144139696;3014435;2937798;0;10;1;0;0;1
275;"Medidas:select:0";"200 x 200:0";3014436;7701144139702;3014436;3229395;0;10;1;0;0;1
